,icmecat_id,sc_insitu,icme_start_time,mo_start_time,mo_end_time,mo_sc_heliodistance,mo_sc_long_heeq,mo_sc_lat_heeq,icme_duration,icme_bmax,icme_bmean,icme_bstd,icme_speed_mean,icme_speed_std,mo_duration,mo_bmax,mo_bmean,mo_bstd,mo_bzmean,mo_bzmin,mo_bzstd,mo_bymean,mo_bystd,mo_speed_mean,mo_speed_std,mo_expansion_speed,mo_pdyn_mean,mo_pdyn_std,mo_density_mean,mo_density_std,mo_temperature_mean,mo_temperature_std,sheath_speed_mean,sheath_speed_std,sheath_density_mean,sheath_density_std,sheath_pdyn_mean,sheath_pdyn_std
25,ICME_BEPI_MOESTL_20211206_01,BepiColombo,2021-12-06T15:07Z,2021-12-06T22:32Z,2021-12-07T13:50Z,0.6791,134.85,-2.45,22.72,58.7,23.1,5.3,,,15.3,58.7,24.9,4.7,8.7,-17.8,10.2,18.2,7.2,,,,,,,,,,,,,,,
26,ICME_Wind_MOESTL_20211127_01,Wind,2021-11-27T21:54Z,2021-11-28T10:00Z,2021-11-29T05:56Z,0.9779,-0.22,1.21,32.03,17.9,10.1,2.6,378.2,12.9,19.93,11.1,8.7,1.7,-2.1,-8.5,4.4,4.8,4.0,371.8,10.0,-1.1,2.2,0.7,9.6,2.9,81947.9,26511.7,388.6,9.9,21.0,4.8,5.3,1.2
27,ICME_STEREO_A_MOESTL_20211124_01,STEREO-A,2021-11-24T15:36Z,2021-11-25T05:56Z,2021-11-26T06:51Z,0.9608,-36.09,5.49,39.25,7.8,6.3,0.7,,,24.92,7.8,6.5,0.6,-0.2,-3.5,1.4,3.9,2.3,,,,,,,,,,,,,,,
28,ICME_STEREO_A_MOESTL_20211123_01,STEREO-A,2021-11-23T00:01Z,2021-11-23T00:01Z,2021-11-23T15:16Z,0.9606,-36.2,5.69,15.25,9.4,7.3,1.3,,,15.25,9.4,7.3,1.3,-2.3,-7.2,4.0,-4.8,2.6,,,,,,,,,,,,,,,
29,ICME_STEREO_A_MOESTL_20211111_01,STEREO-A,2021-11-11T23:11Z,2021-11-12T09:18Z,2021-11-13T09:57Z,0.9595,-36.73,6.48,34.77,13.1,9.7,2.1,,,24.65,13.1,10.8,1.2,4.6,-9.3,6.5,-5.7,2.8,,,,,,,,,,,,,,,
30,ICME_PSP_MOESTL_20211109_01,PSP,2021-11-09T16:22Z,2021-11-09T18:40Z,2021-11-10T04:38Z,0.4229,-50.98,3.79,12.27,59.6,49.0,10.6,,,9.97,59.6,53.7,4.4,0.5,-38.5,27.8,-34.3,17.5,,,,,,36.0,21.2,48425.5,23963.6,,,69.5,9.1,,
31,ICME_BEPI_MOESTL_20211105_01,BepiColombo,2021-11-05T10:47Z,2021-11-05T15:30Z,2021-11-06T04:36Z,0.4872,108.01,-0.3,17.82,69.7,48.1,15.1,,,13.1,69.7,52.8,14.1,-0.3,-41.4,11.2,49.6,15.4,,,,,,,,,,,,,,,
32,ICME_STEREO_A_MOESTL_20211104_01,STEREO-A,2021-11-04T04:15Z,2021-11-04T04:15Z,2021-11-04T18:02Z,0.9588,-37.19,6.93,13.78,22.7,14.9,3.8,,,13.78,22.7,14.9,3.8,2.6,-6.4,2.2,12.3,2.8,,,,,,,,,,,,,,,
33,ICME_Wind_MOESTL_20211103_01,Wind,2021-11-03T19:40Z,2021-11-04T06:30Z,2021-11-05T04:26Z,0.9834,-0.04,4.05,32.77,24.4,15.9,2.9,677.8,53.0,21.93,23.5,15.6,2.9,7.0,-17.1,7.2,-5.7,6.8,659.9,52.5,51.7,2.8,2.7,3.6,2.8,288085.2,87364.2,714.0,31.0,9.7,2.6,8.4,2.6
34,ICME_SOLO_MOESTL_20211103_01,SolarOrbiter,2021-11-03T14:03Z,2021-11-04T01:25Z,2021-11-04T19:47Z,0.8464,-0.96,2.04,29.73,41.7,20.6,4.7,,,18.37,20.5,18.1,0.9,12.3,2.4,2.6,-5.2,7.0,,,,,,,,,,,,,,,
